year,month,level,category,units,yoy_pct
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,52,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,52,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,104,
2025,4,model,,156,
2025,4,model,,156,
2025,4,model,,156,
2025,4,model,,156,
2025,4,model,,156,
2025,4,model,,156,
2025,4,model,,156,
2025,4,model,,208,
2025,4,model,,260,
2025,4,model,,260,
2025,4,model,,313,
2025,4,model,,365,
2025,4,model,,469,
2025,4,model,,469,
2025,4,model,,521,
2025,4,model,,521,
2025,4,model,,573,
2025,4,model,,677,
2025,4,model,,729,
2025,4,model,,781,
2025,4,model,,834,
2025,4,model,,990,
2025,4,model,,1094,
2025,4,model,,1198,
2025,4,model,,1250,
2025,4,model,,1355,
2025,4,model,,1407,
2025,4,model,,2188,
2025,4,model,,2709,
2025,4,model,,2970,
2025,4,model,,3074,
2025,4,model,,4741,
2025,4,model,,5262,
2025,4,model,,5627,
2025,4,total,TOTAL,47193,0.97
2025,3,maker,,10,
2025,3,maker,,10,
2025,3,maker,,20,
2025,3,maker,,20,
2025,3,maker,,20,
2025,3,maker,,60,
2025,3,maker,,100,
2025,3,maker,,110,
2025,3,maker,,140,
2025,3,maker,,540,
2025,3,maker,,640,
2025,3,maker,,680,
2025,3,maker,,690,
2025,3,maker,,720,
2025,3,maker,,800,
2025,3,maker,,840,
2025,3,maker,,129,
2025,3,maker,,130,
2025,3,maker,,134,
2025,3,maker,,135,
2025,3,maker,,146,
2025,3,maker,,176,
2025,3,maker,,200,
2025,3,maker,,237,
2025,3,maker,,243,
2025,3,maker,,258,
2025,3,maker,,310,
2025,3,maker,,505,
2025,3,maker,,529,
2025,3,maker,,682,
2025,3,maker,,687,
2025,3,maker,,705,
2025,3,maker,,1016,
2025,3,maker,,1170,
2025,3,maker,,1591,
2025,3,maker,,1866,
2025,3,maker,,3160,
2025,3,maker,,6378,
2025,3,maker,,7218,
2025,3,maker,,21272,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,54,
2025,3,model,,109,
2025,3,model,,54,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,109,
2025,3,model,,163,
2025,3,model,,163,
2025,3,model,,163,
2025,3,model,,163,
2025,3,model,,163,
2025,3,model,,163,
2025,3,model,,217,
2025,3,model,,217,
2025,3,model,,217,
2025,3,model,,271,
2025,3,model,,326,
2025,3,model,,380,
2025,3,model,,488,
2025,3,model,,488,
2025,3,model,,543,
2025,3,model,,597,
2025,3,model,,651,
2025,3,model,,651,
2025,3,model,,706,
2025,3,model,,814,
2025,3,model,,868,
2025,3,model,,868,
2025,3,model,,1031,
2025,3,model,,1194,
2025,3,model,,1194,
2025,3,model,,1248,
2025,3,model,,1357,
2025,3,model,,6785,
2025,3,model,,1465,
2025,3,model,,2551,
2025,3,model,,2931,
2025,3,model,,3419,
2025,3,model,,4342,
2025,3,model,,5102,
2025,3,model,,6133,
2025,3,total,TOTAL,55798,
2025,2,maker,,10,
2025,2,maker,,10,
2025,2,maker,,10,
2025,2,maker,,20,
2025,2,maker,,20,
2025,2,maker,,30,
2025,2,maker,,40,
2025,2,maker,,100,
2025,2,maker,,110,
2025,2,maker,,110,
2025,2,maker,,120,
2025,2,maker,,350,
2025,2,maker,,530,
2025,2,maker,,560,
2025,2,maker,,640,
2025,2,maker,,640,
2025,2,maker,,730,
2025,2,maker,,910,
2025,2,maker,,910,
2025,2,maker,,112,
2025,2,maker,,122,
2025,2,maker,,152,
2025,2,maker,,156,
2025,2,maker,,175,
2025,2,maker,,202,
2025,2,maker,,232,
2025,2,maker,,250,
2025,2,maker,,271,
2025,2,maker,,288,
2025,2,maker,,317,
2025,2,maker,,412,
2025,2,maker,,460,
2025,2,maker,,687,
2025,2,maker,,717,
2025,2,maker,,885,
2025,2,maker,,1102,
2025,2,maker,,1102,
2025,2,maker,,1205,
2025,2,maker,,1870,
2025,2,maker,,6238,
2025,2,maker,,7292,
2025,2,maker,,20308,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
