country,year,month,level,maker,model,category,seats,region,units,units_ytd,yoy_pct,is_subtotal,source,source_url,source_name,source_site
VN,2026,6,maker,SAMCO,,,,South,8,40,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Suzuki,,,,ALL,654,3814,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Suzuki,,,,Central,77,420,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Suzuki,,,,North,249,1574,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Suzuki,,,,South,328,1820,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO KIA,,,,ALL,2675,15732,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO KIA,,,,Central,436,2428,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO KIA,,,,North,1277,8381,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO KIA,,,,South,962,4923,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO MAZDA,,,,ALL,2361,15298,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO MAZDA,,,,Central,269,1960,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO MAZDA,,,,North,1237,8816,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO MAZDA,,,,South,855,4522,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO TRUCK,,,,ALL,2173,12519,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO TRUCK,,,,Central,264,1588,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO TRUCK,,,,North,908,5412,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,THACO TRUCK,,,,South,1001,5519,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Toyota,,,,ALL,6494,35410,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Toyota,,,,Central,1371,8157,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Toyota,,,,North,2508,14243,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Toyota,,,,South,2615,13010,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,VINAMOTOR,,,,ALL,5,166,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,VINAMOTOR,,,,Central,1,14,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,VINAMOTOR,,,,North,1,73,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,VINAMOTOR,,,,South,3,79,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,BUS THACO,Bus,Large bus,12 ~ 45 seats,ALL,156,1063,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,BUS THACO,Bus,Large bus,12 ~ 45 seats,Central,33,205,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,BUS THACO,Bus,Large bus,12 ~ 45 seats,North,96,546,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,BUS THACO,Bus,Large bus,12 ~ 45 seats,South,27,312,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,Daewoo Truck,CL4TF/CL4T8/CL4DF,Light truck,,ALL,2,18,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,Daewoo Truck,CL4TF/CL4T8/CL4DF,Light truck,,South,2,18,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,Daewoo Truck,HC/HU,Light truck,,ALL,,2,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,Daewoo Truck,HC/HU,Light truck,,South,,2,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,Ford,Everest,SUV,7 seats,ALL,818,6101,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,model,Ford,Everest,SUV,7 seats,Central,149,1417,,0,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
