year,month,maker,model,vama_class,seats,units,units_ytd
2026,3,Honda,CR-V,SUV,7 seats,210,1108
2026,3,Toyota,Corolla Cross,SUV,5 seats,199,276
2026,3,Suzuki,XL7 Hybrid,Hybrid,7 seats,196,779
2026,3,THACO KIA,Xe khác,Others,5 seats,163,536
2026,3,Honda,Civic Hybrid,Hybrid,5 seats,147,208
2026,3,BUS THACO,Bus,Large bus,12 ~ 45 seats,146,576
2026,3,Mitsubishi,Attrage,Sedan,5 seats,143,370
2026,3,THACO KIA,Sportage,SUV,5 seats,142,403
2026,3,Honda,HR-V Hybrid,Hybrid 5 seats,,136,354
2026,3,Honda,HR-V,SUV,5 seats,124,820
2026,3,Toyota,Camry Hybrid,Hybrid,5 seats,121,182
2026,3,THACO PREMIUM,Peugeot,Peugeot,7 seats,103,392
2026,3,Toyota,Fortuner (CBU),SUV,7 seats,103,253
2026,3,NGVANG NS700 + DV,8D0O0NGVANG NS700,Light truck,2~3,102,133
2026,3,Suzuki,EECO,Van,2 seats,102,215
2026,3,Suzuki,Fronx,SUV,5 seats,98,288
2026,3,THACO MAZDA,CX-30,SUV,5 seats,95,309
2026,3,Isuzu,D-Max,Pick-up,5 seats,92,306
2026,3,THACO MAZDA,CX-3,SUV,5 seats,81,256
2026,3,Toyota,Avanza Premio CKD,MPV,7 seats,74,200
2026,3,Toyota,Landcruiser,SUV,7 seats,64,213
2026,3,THACO KIA,Sorento,SUV,7 seats,60,194
2026,3,SAMCO,SAMCO B40 ~ B80,Large bus,40 seats,34,47
2026,3,Isuzu,Bus Chassis,Chassis,,34,58
